,title,content,datetime
0,美多家航空公司继续推迟复飞波音737MAX波音公司,据外媒报道，鉴于波音公司上个月表示，737MAX系列客机无望在今年年中前获得复飞许可，近日，美国多家航空公司宣布将延长停飞波音737MAX至2020年8月后。,2020-02-17 21:10:00
1,东方航空：计划恢复国际航线5条 国内航线163条,东方航空23日消息，为保障全国企业有序复工及旅客顺利便捷出行，东航计划恢复国际航线5条，国内航线163条。此批航线包含上海、北京、广州、成都、西安、南京等务工需求较大的城市。,2020-02-23 20:31:00
2,美国联邦航空管理局周二提议  航空公司应完成对波音 737 ...,据报道，美国联邦航空管理局周二提议，在波音 737 MAX客机恢复服务以前，航空公司应完成对其关键部件的检查，该部件可能会使波音 737 MAX客机容易受到雷击和大功率无线电频率发射机的干扰。,2020-02-26 03:52:00
3,海航“被接管”？权威知情人士说不能“想当然”,权威知情人士称，海航集团不会被接管，海南航空也不会被拆分。（第一财经）,2020-02-29 20:32:00
4,海南航空不会被海航集团出售,从知情人士处获悉，海南省海航集团联合工作组成立后，海航旗下的航空资产不会以拆分出售资产的形式来还债，因此海南航空不会被海航集团出售。此前有传言称海航旗下的航空资产将被拆分给其他航空公司。（界面）,2020-02-29 18:06:00
5,陈峰会继续掌舵海航集团,从知情人士处获悉，海南省海航集团联合工作组成立后，陈峰会继续掌舵海航集团，工作组进驻不会改变海航民企角色；联合工作组首要任务是防范债务危机影响航空安全，损害公共利益。（界面）,2020-02-29 17:26:00
6,MSCI报告：受疫情影响的行业分化在全球各地基本一致,MSCI(明晟公司)近日发布的新冠肺炎疫情对全球市场影响的研究报告称，受疫情影响，从1月20日至2月5日，航空、海运、消费服务、媒体和零售下跌严重，而医疗健康行业则成为最大的赢家，这种行业的分化在全球各个地区基本一致。（中国新闻网）,2020-03-02 20:24:00
7,美国：“至尊公主号”邮轮上加州居民将被强制隔离在特拉...,美国卫生与公共服务部（HHS）：“至尊公主号”邮轮（Grand Princess）上将近1000名乘客属于加州居民，他们将被强制隔离在特拉维斯空军基地和米拉马海军航空站。,2020-03-08 21:31:00
8,美国国会：波音737MAX设计存严重缺陷,当地时间6日，美国国会众议院公布了波音公司737MAX系列客机两起致命空难的初步调查结果。认为波音公司的设计存在严重的缺陷，美国联邦航空局存在失职。（央视财经）,2020-03-08 20:53:00
9,伊朗航空停止所有飞往欧洲的航班,路透社当地时间援引伊朗IRNA通讯社称，伊朗航空停止所有飞往欧洲的航班。伊朗目前确诊5823例。IRNA通讯社援引伊朗民航局的声明称：鉴于欧洲出于不明原因对伊朗航空公司的航班实施限制，所有飞往欧洲目的地的伊朗航空公司航班均已暂停，直至另行...,2020-03-08 18:30:00
10,波音737系列客机未获审批安装传感器 面临巨额罚款,美国联邦航空局当地时间6日对波音公司开出1970万美元的“罚单”，原因是波音在未经许可的情况下在数百架737系列客机上安装传感器。据了解，除了这次罚款外，去年12月以来，联邦航空局还曾两度对波音开出“罚单”，罚金总额超过900万美元，原因是...,2020-03-08 15:42:00
11,海南航空3月15日起全线恢复海南航班：每周航班近500个,海南航空将全线恢复海南航班。3月11日，海南航空方面宣布，计划于3月15日起全线恢复海南进出港航班，打通“空中大动脉”，为海南自贸港建设提供航路“加速度”。3月15日起，海南进出港航线预计将达到110余条，每周执行航班量近500个。（澎湃）,2020-03-11 14:41:00
12,加拿大总理特鲁多与航空公司就新冠肺炎影响进行会谈,加拿大总理特鲁多与航空公司Westjet以及Aircanada就新冠肺炎影响进行了会谈。,2020-03-11 09:34:00
13,加拿大航空公司暂停往返意大利航班,加拿大航空公司10日宣布，将从11日起停飞往返意大利的航班直至5月1日。加拿大新冠肺炎疫情最近一周出现蔓延趋势。截至9日，加拿大累计新冠肺炎确诊病例78例，并出现首例死亡病例。（新华社）,2020-03-11 08:22:00
