,datetime,content,title
0,2020-10-13 23:57:00,据青岛卫健委消息，截至10月13日20:30时，青岛已采样5603804份开展新冠病毒核酸检测。截至10月13日20:30时，全市已排查到密切接触者532人，全部实行集中隔离观察并完成两轮核酸检测，除首轮检测中9人核酸检测结果阳性并已及时发布外，其余均为阴...,青岛卫健委：已采样5603804份开展新冠病毒核酸检测，排查...
1,2020-10-13 23:47:00,德国DAX30指数跌0.96%报13012.60点；英国富时100指数跌0.51%报5970.60点；法国CAC40指数跌0.64%报4947.61点。,欧洲三大股指全线收跌
2,2020-10-13 23:41:00,在岸人民币兑美元（CNY）北京时间23:30收报6.7450元，较周一夜盘收盘涨10点。成交量313.37亿美元，较周一增加12.01亿美元。,在岸人民币兑美元（CNY）收报6.7450元
3,2020-10-13 23:37:00,英国新增17234例新冠肺炎确诊病例，累计确诊634920例。,英国新增17234例新冠肺炎确诊病例
4,2020-10-13 23:15:00,据记者获悉，威马智慧出行科技（上海）股份有限公司（下称“威马出行”）已于今年9月30日正式开启辅导备案，辅导机构为中信建投。威马出行旗下拥有“威马汽车”品牌，后者是一家智能电动汽车开发商。威马出行最近一次融资是在今年9月22日的100亿...,百亿融资后 威马汽车正式启动上市辅导
5,2020-10-13 23:12:00,参与蚂蚁集团战略配售的部分基金公司称，对蚂蚁推迟上市的预案尚未听说，不过即便推迟上市，基金也会先作为普通基金运作，等待上市时间确定。（经济观察网）,基金人士：对蚂蚁推迟上市的预案尚未听说
6,2020-10-13 22:58:00,据日本NHK电视台报道，当地时间10月13日0时至23时30分，日本国内新增501例新冠肺炎确诊病例，累计确诊病例达90269例。死亡新增4例，累计达1638例。（央视新闻）,日本新增501例新冠肺炎确诊病例 累计确诊90269例
7,2020-10-13 22:49:00,美股AMC院线跌近8%，此前称公司有可能在2021年初耗尽现金。,美股AMC院线跌近8%
8,2020-10-13 22:49:00,在IMF最新世界经济展望报告发布会上，第一财经驻美记者葛唯尔提问美国经济对全球经济复苏有怎样的作用。IMF首席经济学家兼研究部主任Gita  Gopinath回答道，尽管美国有部分复苏，IMF的预测仍然是-4.3%的负增长，可能需要更多时间，到2021或者202...,IMF：美国经济两到三年才能恢复到疫前水平
9,2020-10-13 22:31:00,9月28日，在深圳证监局指导下，深圳市投资基金同业公会召开深圳基金公司高质量发展座谈会，会议围绕目前行业发展形势、面临机遇挑战以及如何实现高质量发展进行深入交流。深圳证监局表示，下一步，深圳证监局将持续加强行业沟通交流，广泛听取意...,深圳证监局：共同推动深圳基金业高质量发展
