,datetime,content,title
0,2020-11-03 23:42:10,云财经讯，秘鲁9月铜产量同比下滑11.4%，至17.2万吨,秘鲁9月铜产量同比下滑11.4%
1,2020-11-03 23:41:49,云财经讯，接近监管层的权威人士表示，对于可能对发行上市构成重大影响情形的处理，前述两个文件已有安排。按照这些规定，交易所对蚂蚁集团作出暂缓上市的决定（一财）,接近监管层的权威人士表示 对于可能对发行上市构成重大影响情形的处理
2,2020-11-03 23:31:17,云财经讯，今日上午，北京市委副书记、市长陈吉宁就学习贯彻党的十九届五中全会精神，做好“十四五”规划编制、推动经济社会高质量发展等工作在昌平区调研。他强调，要深入学习贯彻党的十九届五中全会精神，积极用好北京建设国家服务业扩大开放综合示范区和自由贸易试验区的政策红利，深化改革开放，创新体制机制，统筹谋划、突出重点，吸引集聚优质要素资源，着力培育新动能新优势，为实现“十四五”开门红、加快构建新发展格局奠定坚实基础。,北京市长陈吉宁：积极用好北京建设国家服务业扩大开放综合示范区和自由贸易试验区的政策红利 创新体制机制
3,2020-11-03 23:26:20,云财经讯，农业农村部数据显示，今年以来，我国的猪肉月平均批发价格2月份最高，达到每公斤49.62元，之后在高位震荡，9月份开始明显下滑，10月份出现首次同比下滑。从16省市瘦肉型白条猪肉出厂价格总指数的周平均值来看，九月第一周为每公斤47.16元，10月19日至23日这周为每公斤37.15元，降幅超过20%。,截至10月23日当周猪肉价格较9月降幅超过20%
4,2020-11-03 23:24:44,云财经讯，在3日举行的外交部例行记者会上，外交部发言人汪文斌就中国—东盟合作等问题回答了记者的提问。汪文斌说，今年以来，中国与东盟经贸合作逆势上扬，前三季度双方贸易额达4818亿美元，占中国同期外贸总额的七分之一。中国对东盟国家直接投资达107亿美元，同比增长76.6%，这充分显示了双方合作的强劲韧性和巨大潜力。“即将召开的中国国际进口博览会、中国—东盟博览会、中国—东盟商务与投资峰会将为深化中国—东盟合作提供新的机遇。”,外交部：前三季度中国与东盟贸易额达4818亿美元 占中国同期外贸总额的七分之一
5,2020-11-03 23:16:06,云财经讯，数据中心提示，目前阿里巴巴期权成交量激增，排名第1，为8.4538万张，认沽比率达37.8%。,目前阿里巴巴期权成交量激增 认沽比率达37.8%
6,2020-11-03 23:14:46,云财经讯，标普500指数涨超2%,标普500指数涨超2%
7,2020-11-03 23:14:10,云财经讯，消息人士称，紧急抗疫购债计划（PEPP）可能仍然是欧洲央行12月经济刺激计划的主要工具。,消息人士称 紧急抗疫购债计划（PEPP）可能仍然是欧洲央行12月经济刺激计划的主要工具
8,2020-11-03 23:11:52,云财经讯，现货黄金刷新日高至1908.28美元/盎司,现货黄金刷新日高至1908.28美元/盎司
9,2020-11-03 23:09:26,云财经讯，香港金管局发言人回应蚂蚁暂缓两地上市：香港作为国际金融中心，资金来往进出是很正常的。金管局多年来在金融及银行体系建立了强大的缓冲和抗震能力，银行体系非常稳健，流动性充裕。发言人续指，有信心和能力维护香港的货币和金融体系稳定,香港金管局发言人回应蚂蚁暂缓两地上市：香港作为国际金融中心
10,2020-11-03 23:00:07,云财经讯，天眼查专业版数据显示，我国今年第二季度新增新能源汽车相关企业（全部企业状态）超过1.6万家，环比增长139%。今年前三季度共新增新能源汽车相关企业约4.3万家，同比增长66.6%。以工商登记为准，截至11月3日，我国今年新增的新能源汽车相关企业已经超过4.8万家，已经超过2019年全年的新增数量。,截至11月3日我国新增新能源汽车相关企业数量已超过2019年全年新增数量
11,2020-11-03 22:59:44,云财经讯，今日，台州市房地产市场平稳健康发展领导小组办公室发布《关于促进房地产市场平稳健康发展的通知》。通知实施之日起在台州市区新购买的住房（含新建商品住房和二手住房），自取得不动产权证书满3年后方可转让。购买时间以交易合同网签时间为准。,台州今天发布楼市新政 市区新购买住房3年内不得交易
12,2020-11-03 22:57:02,云财经讯，拼多多短线走高，现涨超5%，此前获高盛升其目标价68%至123美元。,拼多多涨幅扩大至超5%
13,2020-11-03 22:50:32,云财经讯，美股三大指数涨幅均扩大至超1%，道指涨约500点,美股三大指数涨幅均扩大至超1%
14,2020-11-03 22:44:45,云财经讯，丰田10月美国汽车销售同比增长8.8%,丰田10月美国汽车销售同比增长8.8%
15,2020-11-03 22:43:32,云财经讯，美国约翰·霍普金斯大学发布的实时统计数据显示，截至北京时间2020年11月03日22:43，全球累计确诊47007194例，累计死亡1208224例，累计确诊国家和地区数190个。,全球新冠肺炎累计确诊超4700万例
16,2020-11-03 22:43:05,云财经讯，美股各大类资产类ETF中，美国布伦特原油基金领涨，涨2.2%，其次是罗素2000指数ETF，涨1.56%；恐慌指数做多ETF领跌，跌超3%，其次是是做多美元指数-PowerShares，跌0.63%,美股各大类资产类ETF中
17,2020-11-03 22:39:19,云财经讯，美股各行业ETF中，全球韩工业ETF领涨，涨2.15%，其次是金融业ETF、银行业ETF，均涨超2%；互联网ETF涨幅最小，涨0.34%，其次是全球科技业ETF，涨0.7%,美股各行业ETF中 全球韩工业ETF领涨
18,2020-11-03 22:34:47,云财经讯，新加坡旅游局3日宣布，推出第二波“重新探索新加坡”活动，通过捆绑促销、个性化行程和在线内容，鼓励新加坡人探索当地景点，支持本土企业。,新加坡推出第二波活动提振旅游业
19,2020-11-03 22:33:31,云财经讯，俄罗斯在线零售商奥森计划在美国进行5亿美元的IPO。,俄罗斯在线零售商奥森计划在美国进行5亿美元的IPO
20,2020-11-03 22:31:22,云财经讯，中概股陆金所开盘下跌超10％,中概股陆金所开盘下跌超10％
21,2020-11-03 22:29:05,云财经讯，美股三大股指集体高开，道指涨1.14%，标普500指数涨0.95%，纳指涨0.73%。个股方面，阿里巴巴大跌8%。,美股三大股指集体高开 阿里巴巴大跌8%
22,2020-11-03 22:27:58,云财经讯，道指高开逾200点，标普涨约1%。阿里巴巴跌超7%,道指高开逾200点 阿里巴巴跌超7%
23,2020-11-03 22:26:13,云财经讯，恒生指数期货下跌1.2％,恒生指数期货下跌1.2％
24,2020-11-03 22:23:29,云财经讯，凌云半导体美股盘前涨超10%，该公司季度盈利和营收均超预期,凌云半导体美股盘前涨超10%
25,2020-11-03 22:20:56,云财经讯，蚂蚁集团在上交所公告称，首次公开发行股票并在科创板上市暂缓上市。,蚂蚁集团：首次公开发行股票并在科创板上市暂缓上市
26,2020-11-03 22:17:07,云财经讯，11月3日晚，哪吒汽车旗下第三款量产车型哪吒V正式上市，新车提供401km和301km两种续航版本，共计四款车型。哪吒汽车官方表示，2020年12月31日前补贴后哪吒V的官方指导价区间为5.99万元-7.59万元。,哪吒汽车第三款量产车哪吒V正式上市，5.99万元起售
27,2020-11-03 22:09:14,云财经讯，11月3日，阿特斯、东方日升、晶澳、晶科、隆基、天合光能6家光伏企业联合发布《关于促进光伏组件市场健康发展的联合呼吁》。希望国家充分考虑目前行业面临的紧迫局势，放开对玻璃产能扩张的限制。四季度步入抢装阶段，光伏玻璃持续涨价印证下游需求旺盛和供给紧缺局面。考虑到光伏发电平价后下游对于发电量提升的需求，预计双面组件渗透率将持续提升，有望驱动光伏玻璃需求持续增长。相关公司有福莱特、金晶科技等。（中证资讯）,六大光伏企业联合发声 光伏玻璃产能严重短缺
28,2020-11-03 22:06:22,云财经讯，11月2日，兴业银行与国泰君安证券在上海签署全面战略合作协议，拟在存管结算、资金融通、资产管理、投行、FICC、资产托管、跨境业务等领域开展全面业务合作，实现资源共享、优势互补，共同构建开放、创新、共享的金融生态圈。,兴业银行与国泰君安证券签署全面战略合作协议
29,2020-11-03 21:54:12,云财经讯，11月3日，何梁何利基金2020年度颁奖大会在京举行。国务院副总理刘鹤出席大会并讲话，刘鹤强调，下一步将强化国家战略科技力量，提升企业技术创新能力，激发人才创新活力，完善科技创新体制机制。科技发展最关键的是人才。要全方位培养、引进和用好人才，造就更多国际一流科技领军人才和创新团队。希望广大科技工作者扎根主业、潜心研究，将自己的科学追求融入社会主义现代化国家建设的伟大事业之中。,刘鹤：强化国家战略科技力量 激发人才创新活力
