,title,content,pub_time,src
0,舒泰神：治疗冠状病毒新药临床试验申请获受理,"舒泰神（300204）2月4日晚公告，公司及子公司德丰瑞申报的关于BDB-001注射液用于治疗冠状病毒感染所致重症肺炎的治疗的临床试验，和BDB-001注射液用于治疗冠状病毒感染所致相关疾病的治疗的临床试验申请，均已于1月31日获得国家药品监督管理局的受理。
责任编辑：王帅",2020-02-04 17:59:33,新浪财经
1,ST康美：中诚信将公司主体信用等级由B下调至C,"ST康美（维权）公告，中诚信证评决定将公司的主体信用等级由B下调至C，将“15 康美债”的债项信用等级由B下调至C，将“18康美01”和“18康美04”的债项信用等级由B下调至CC，并将“18康美01”和“18康美04”债项信用等级列入可能降级的信用评级观察名单。
责任编辑：王帅",2020-02-04 17:57:56,新浪财经
2,七连板联环药业：抗生素类药物销售收入及占比极小,"连续七日涨停的联环药业（600513）2月4日晚间公告，不存在应披露而未披露的重大信息。公司主要生产泌尿系统药、抗组胺药和心血管药，用于缓解感冒症状药物及治疗细菌真菌感染的抗生素类药物销售收入金额及占比均极小。公司动态市盈率已明显高于医药制造业平均市盈率，敬请广大投资者注意投资风险。
责任编辑：王帅",2020-02-04 17:57:16,新浪财经
3,鲁抗医药：公司产品结构和主营业务均未发生重大变化,"六连板鲁抗医药风险提示：公司所从事的主要业务包括医药产品的研发、生产和销售。公司产品主要涉及人用抗生素、兽用农用抗生素、心血管类及降糖类药物等。目前产品结构和主营业务均未发生重大变化。
责任编辑：王帅",2020-02-04 17:54:48,新浪财经
4,中国银河证券党委致驻湖北员工：你们还好吗？,"原标题：中国银河证券党委致驻湖北地区各级党组织及全体员工的信
来源：中国银河e党建
驻湖北地区各级党组织及全体员工：
你们辛苦了！
距离1月23日起，湖北多地陆续“封城”，已经13天……
湖北地区17家行政单位、14家党组织，361名员工、107名党员……
全部都是全体银河人的牵挂！你们还好吗？
(image_address=""//n.sinaimg.cn/finance/crawl/763/w443h320/20200204/5813-inzcrxs3016839.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/142/w101h41/20200204/df4f-inzcrxs3016870.png"")
疫情就是命令，防控就是责任。在新春佳节、万家团圆之际，你们身处疫情防控斗争第一线，积极响应、坚决果断，严格落实各项防控措施，迅速投入抗击疫情战斗中，展现出迎难而上、敢打硬仗的优良作风；你们坚守岗位、辛勤工作，心系客户、保障服务，展现出忠于职守、无私奉献的职业精神；你们舍小家、顾大家，响应当地政府号召留在湖北过春节，甚至主动放弃与亲人团聚的机会，展现出顾全大局、不怕牺牲的良好品格；你们不忘初心、牢记使命，以实际行动切实履行了国有金融企业的政治责任和社会责任，为守护人民群众生命安全和身体健康做出了积极贡献。在此，向你们致以崇高的敬意，向默默支持你们的家人致以衷心的感谢！
生命重于泰山。疫情发生以来，习近平总书记高度重视，多次召开会议，多次听取汇报，明确要求“把人民群众生命安全和身体健康放在第一位，把疫情防控工作作为当前最重要的工作来抓”。面对疫情，在党中央坚强领导下，各地各部门密切配合，社会各界齐心协力，已经形成打赢疫情防控阻击战的强大合力。公司党委坚决扛起政治责任，第一时间研究部署公司系统疫情防控工作，确保员工身体健康。请你们放心，公司党委及全系统9000余名银河人的心与你们同在，都是你们的坚强后盾，将为你们提供强大的支持和帮助！
疫情面前显担当，越是艰险越向前。目前疫情防控形势依然严峻复杂，希望湖北地区各级党组织继续保持一往无前、战之必胜的勇气和信心，主动承担起疫情防控“第一道防线”责任，把打赢疫情防控阻击战作为当前的重大政治任务，把投身防控疫情第一线作为践行初心使命、体现责任担当的试金石和磨刀石，以更加果断、更有力有序、更科学周密的举措，密切配合地方党委政府做好联防联控，全面落实防控措施，构筑群防群治的严密防线。希望广大党员同志继续保持政治定力，坚决支持配合疫情防控工作，不造谣、不信谣、不传谣，在疫情防控阻击战中当先锋作表率。希望广大员工继续积极配合当地政府防控部署，稳定情绪、增强信心，做好科学防护，注意劳逸结合，确保自身和家人健康。
守望相助，同舟共济。我们坚信，“没有任何力量能够阻挡中国人民和中华民族的前进步伐”，在以习近平同志为核心的党中央坚强领导下，全国人民同舟共济、众志成城、全力以赴、共克时艰，一定能打赢这场疫情防控阻击战！衷心地祝愿同志们身体健康、万事如意！
中国银河证券党委
2020年2月4日
免责声明：自媒体综合提供的内容均源自自媒体，版权归原作者所有，转载请联系原作者并获许可。文章观点仅代表作者本人，不代表新浪立场。若内容涉及投资建议，仅供参考勿作为投资依据。投资有风险，入市需谨慎。
责任编辑：王帅",2020-02-04 17:51:29,新浪财经
5,再捐800万 雪松控股众志成城助力战“疫”,"来源： 雪松控股
没有一个冬天不能逾越
没有一个春天不会来临
继捐赠1000万及首批紧缺医用物资后
雪松旗下产业第二批捐赠再增加800万
万众一心抗击新冠肺炎疫情
雪松在行动！
爱心捐赠
2月4日上午，雪松控股旗下化工产业集团核心企业齐翔腾达向淄博红十字会捐赠600万元，齐翔腾达董事长车成聚向淄博红十字会捐赠200万元，用于抗击新冠肺炎疫情。
齐翔腾达将疫情防控作为目前工作的重中之重，通过多种举措做好防控防疫工作，切实履行上市公司社会责任。
这是继1月25日捐赠1000万元及首批紧缺医用物资后，雪松的再次行动！
大年三十的夜晚，在得知武汉多个医院物资告急后，雪松控股董事局主席张劲在除夕夜向全集团员工发出号召：“目前武汉急需各种医疗物资。请全体雪松人发动所有社会资源找到厂家，我司准备大批量购买送往武汉！有多少要多少，我们要全力以赴支持武汉人民！”
雪松的经营业务与医疗物资并没有直接关联，但在公司的号召和组织下，不少雪松人在除夕夜回到工作岗位，并且通过各方面的社会关系，通宵达旦地联系各类医疗物资供应商、捐赠机构、物资紧缺医疗单位和快递通道等。
大年初一，雪松控股旗下雪松国际信托通过广州市慈善会向武汉市捐赠1000万元资金及首批医用物资，包括一次性医用外科口罩4万个、N95口罩5000个、防护服200件，用于武汉市防控疫情。
(image_address=""//n.sinaimg.cn/finance/crawl/483/w550h733/20200204/95b0-inzcrxs3007824.jpg"")
全面防控
疫情就是命令，防控就是责任。面对来势汹汹的新冠肺炎疫情，雪松控股旗下生活服务公司在全国100多个地市的在管项目中开展防疫行动，从消杀、宣传、体温监测、送菜……他们时刻关注每一个疫情防控环节，竭力守护业主安全的社区环境。
不少雪松生活服务公司的小伙伴放弃了春节与家人团聚的机会，逆行回到岗位，第一时间做好小区的防疫工作。
筑起防控疫情的第一面墙
奋战在基层一线的他们严格执行公司指示，戴上医用口罩，对客服中心、门岗、社区广场、电梯轿厢、楼梯扶手、单元门等所有服务区域进行消毒杀菌，积极做好监督汇报，争分夺秒和疫情赛跑。
(image_address=""//n.sinaimg.cn/finance/crawl/177/w476h501/20200204/98f1-inzcrxs3007878.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/327/w550h577/20200204/eaf0-inzcrxs3007930.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/315/w550h565/20200204/b0e0-inzcrxs3008016.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/352/w550h602/20200204/f246-inzcrxs3008064.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/358/w550h608/20200204/367e-inzcrxs3008134.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/361/w550h611/20200204/7c56-inzcrxs3008213.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/364/w550h614/20200204/a19d-inzcrxs3008253.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/366/w550h616/20200204/c42f-inzcrxs3008340.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/351/w550h601/20200204/7575-inzcrxs3008398.jpg"")
他们用认真的工作态度和严谨的执行操作努力将病毒拒之门外，为保障业主们的安全冲锋陷阵。
(image_address=""//n.sinaimg.cn/finance/crawl/489/w550h739/20200204/3b1e-inzcrxs3008452.jpg"")
社区每日定时公示消毒记录，社区清洁防护清晰可见。
(image_address=""//n.sinaimg.cn/finance/crawl/164/w550h414/20200204/9539-inzcrxs3008485.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/164/w550h414/20200204/2e02-inzcrxs3008511.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/165/w550h415/20200204/0a84-inzcrxs3008539.jpg"")
在管小区设置废弃口罩回收点，规范处理使用后的废弃口罩，安排专人为垃圾桶消毒，防止二次污染和病毒传播。
(image_address=""//n.sinaimg.cn/finance/crawl/483/w550h733/20200204/51b5-inzcrxs3008645.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/483/w550h733/20200204/c332-inzcrxs3008707.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/300/w550h550/20200204/d5a6-inzcrxs3008767.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/300/w550h550/20200204/2d7a-inzcrxs3008819.jpg"")
出门不便，雪松旗下君华物业提供上门送菜的贴心服务。
(image_address=""//n.sinaimg.cn/finance/crawl/162/w550h412/20200204/2f99-inzcrxs3008859.jpg"")
不仅在各大小区能看到雪松人的身影，在医院，他们也始终坚守岗位！
在广州市疾病预防控制中心发布的防护指引中，有3家省级、市级定点收治医院是由雪松旗下庆德物业提供后勤保障服务。作为雪松生活服务公司的成员企业，同时也是广东省承接医疗机构项目最多的企业之一，庆德物业始终坚守在防疫前线。
雪松旗下庆德物业的疫情防控工作小组，对项目防控工作的开展实行直接部署和24小时实时监督；对于在管的广州市妇女儿童医疗中心等广州定点收治医院，根据医院要求积极调配支援人员；对于其他非定点收治医院机构，坚持每日全区域消毒和持续性员工培训；发动全体员工寻找规范生产厂家，购买抗疫物资分发项目使用。
(image_address=""//n.sinaimg.cn/finance/crawl/217/w550h467/20200204/fb54-inzcrxs3007767.jpg"")
封闭管理，加强预防
对在管小区实行封闭式管理，严格排查园区的进出车辆；对进出园区的所有人员进行体温测量，并要求佩戴口罩，隔绝病毒传播；辅助医护人员对社区内疑似患者进行隔离回访。
(image_address=""//n.sinaimg.cn/finance/crawl/289/w550h539/20200204/231f-inzcrxs3007952.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/298/w550h548/20200204/3552-inzcrxs3008024.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/287/w550h537/20200204/d0db-inzcrxs3008083.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/280/w550h530/20200204/53bc-inzcrxs3008159.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/277/w550h527/20200204/8517-inzcrxs3008217.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/286/w550h536/20200204/ee12-inzcrxs3008268.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/89/w464h425/20200204/7c0c-inzcrxs3008690.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/261/w550h511/20200204/9529-inzcrxs3008754.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/251/w550h501/20200204/53b7-inzcrxs3008799.jpg"")
员工安全，才能守护业主安全
疫情当前，只有强化员工保障，守护员工安全，才能更好守护业主的健康安全。雪松生活服务公司统一为一线的物业人员发放口罩和手套，要求员工勤洗手，量好体温再上岗。
(image_address=""//n.sinaimg.cn/finance/crawl/151/w550h401/20200204/8775-inzcrxs3008856.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/151/w550h401/20200204/14a3-inzcrxs3008905.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/483/w550h733/20200204/3ced-inzcrxs3008944.jpg"")
(image_address=""//n.sinaimg.cn/finance/crawl/483/w550h733/20200204/18f1-inzcrxs3008984.jpg"")
疫情防控，刻不容缓。感谢你们，让我们在这场防疫攻坚战中不孤单！
今日立春，
寒冬已过，
照顾好自己和家人，
坚定继续前行的勇气，
加油雪松，加油中国！
免责声明：自媒体综合提供的内容均源自自媒体，版权归原作者所有，转载请联系原作者并获许可。文章观点仅代表作者本人，不代表新浪立场。若内容涉及投资建议，仅供参考勿作为投资依据。投资有风险，入市需谨慎。
责任编辑：王帅",2020-02-04 17:48:41,新浪财经
6,审计伟恒生物时程序执行不到位 中兴华被警示,"新浪财经讯 1月14日，陕西证监局披露对中兴华会计师事务所（特殊普通合伙）（以下简称“中兴华”）及注册会计师于洋、肖中友采取出具警示函措施的决定。
经查，中兴华及注册会计师于洋、肖中友在陕西伟恒生物科技股份有限公司（以下简称伟恒生物）2017年年报审计执业中，存在以下问题：
一、货币资金审计程序执行不到位，审计证据不充分。在伟恒生物货币资金审计中，对银行对账单核验程序执行不到位，仅获取伟恒生物相关银行账户2017年12月份对账单，其中个别银行对账单缺少银行签章等信息，对此未有效关注并采取进一步应对措施。此外，在执行银行对账单和日记账双向核对、货币资金收支检查程序时，仅抽选2017年12月份业务进行核对。上述事项不符合《中国注册会计师审计准则第1301号——审计证据》第十条、《中国注册会计师审计准则第1314号——审计抽样》第十七条的规定。
二、往来款函证程序执行不到位，审计底稿不完备。在伟恒生物应收账款、预付账款函证中，未核对回函寄件人地址是否与发函清单中所列被函证方地址一致，未记录函证方式、被函证方联系人及联系电话等信息，未保留发函相关邮寄单据。在预付账款函证中，部分回函寄件人为同一地址、同一人，且与预付账款发函清单中所列被函证方地址不一致，部分回函无相关邮寄单据，对此未有效关注并采取进一步应对措施。上述事项不符合《中国注册会计师审计准则第1312号——函证》第十四条、第二十三条，《中国注册会计师审计准则第1131号——审计工作底稿》第十条的规定。
上述行为不符合中国注册会计师执业准则的有关要求，违反了《非上市公众公司监督管理办法》（证监会令第96号）第六条的规定。根据该办法第六十二条的规定，决定对中兴华所及注册会计师于洋、肖中友采取出具警示函的监管措施。
责任编辑：公司观察",2020-02-04 17:46:17,新浪财经
7,苏州科达：受疫情影响 公司存在开工延后的情况,"苏州科达（603660）2月4日晚间公告，受疫情影响，公司根据各省市相关政策存在开工延后的情况，将对公司2020年1季度主业生产经营及营业收入产生一定影响，影响程度暂时无法确定。除此之外，公司日常经营情况未发生重大变化，市场环境、行业政策未发生重大调整，内部生产经营秩序正常。苏州科达股价今日涨停。
责任编辑：王帅",2020-02-04 17:38:29,新浪财经
8,六连板四环生物：暂无特定针对新型冠状病毒产品研发,"四环生物（维权）（000518）连续6个交易日涨停，公司2月4日晚公告，公司留意到近期“新型冠状病毒感染的肺炎”相关媒体报道，目前，公司暂无特定针对新型冠状病毒的产品研发和生产。
责任编辑：王帅",2020-02-04 17:37:45,新浪财经
9,昊志机电：控股股东等多名股东拟减持不超7.26%股份,"昊志机电（300503）2月4日晚公告，控股股东、实际控制人汤秀清，股东昊聚公司，股东汤丽君，拟在未来6个月内分别减持不超852万股、531万股、679万股，分别占公司总股本的3%、1.87%、2.39%，合计7.26%。
责任编辑：王帅",2020-02-04 17:36:38,新浪财经
